date,close,usd_close,selic
2022-08-23,112857.0,5.1037,13.75
2022-08-22,110501.0,5.1574,13.75
2022-08-19,111496.0,5.1697,13.75
2022-08-18,113813.0,5.1674,13.75
2022-08-17,113708.0,5.1642,13.75
2022-08-16,113512.0,5.1459,13.75
2022-08-15,113032.0,5.0961,13.75
2022-08-12,112764.0,5.0735,13.75
2022-08-11,109718.0,5.1581,13.75
2022-08-10,110236.0,5.0927,13.75
2022-08-09,108651.0,5.1237,13.75
2022-08-08,108402.0,5.1117,13.75
2022-08-05,106472.0,5.1646,13.75
2022-08-04,105892.0,5.2164,13.75
2022-08-03,103775.0,5.2815,13.75
2022-08-02,103362.0,5.2784,13.25
2022-08-01,102225.0,5.1838,13.25
2022-07-29,103165.0,5.1734,13.25
2022-07-28,102597.0,5.1823,13.25
2022-07-27,101438.0,5.2432,13.25
2022-07-26,99772.0,5.3511,13.25
2022-07-25,10027.0,5.3576,13.25
2022-07-22,98925.0,5.4968,13.25
2022-07-21,99033.0,5.4968,13.25
2022-07-20,98287.0,5.4714,13.25
2022-07-19,98245.0,5.4135,13.25
